agent_id,role,scope,lead,channel
Claude-029,Discovery Static Analysis,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-030,Discovery Static Analysis,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-031,Refactoring & Consolidation,backend,Architect,coordination_bus/messages/status.jsonl
Claude-032,Refactoring & Consolidation,services,Architect,coordination_bus/messages/status.jsonl
Claude-033,Refactoring & Consolidation,agents,Architect,coordination_bus/messages/status.jsonl
Claude-034,Refactoring & Consolidation,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-035,Refactoring & Consolidation,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-036,Refactoring & Consolidation,backend,Architect,coordination_bus/messages/status.jsonl
Claude-037,Refactoring & Consolidation,services,Architect,coordination_bus/messages/status.jsonl
Claude-038,Refactoring & Consolidation,agents,Architect,coordination_bus/messages/status.jsonl
Claude-039,Refactoring & Consolidation,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-040,Refactoring & Consolidation,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-041,Refactoring & Consolidation,backend,Architect,coordination_bus/messages/status.jsonl
Claude-042,Refactoring & Consolidation,services,Architect,coordination_bus/messages/status.jsonl
Claude-043,Refactoring & Consolidation,agents,Architect,coordination_bus/messages/status.jsonl
Claude-044,Refactoring & Consolidation,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-045,Refactoring & Consolidation,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-046,Refactoring & Consolidation,backend,Architect,coordination_bus/messages/status.jsonl
Claude-047,Refactoring & Consolidation,services,Architect,coordination_bus/messages/status.jsonl
Claude-048,Refactoring & Consolidation,agents,Architect,coordination_bus/messages/status.jsonl
Claude-049,Refactoring & Consolidation,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-050,Refactoring & Consolidation,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-051,Refactoring & Consolidation,backend,Architect,coordination_bus/messages/status.jsonl
Claude-052,Refactoring & Consolidation,services,Architect,coordination_bus/messages/status.jsonl
Claude-053,Refactoring & Consolidation,agents,Architect,coordination_bus/messages/status.jsonl
Claude-054,Refactoring & Consolidation,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-055,Refactoring & Consolidation,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-056,Refactoring & Consolidation,backend,Architect,coordination_bus/messages/status.jsonl
Claude-057,Refactoring & Consolidation,services,Architect,coordination_bus/messages/status.jsonl
Claude-058,Refactoring & Consolidation,agents,Architect,coordination_bus/messages/status.jsonl
Claude-059,Refactoring & Consolidation,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-060,Refactoring & Consolidation,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-061,Refactoring & Consolidation,backend,Architect,coordination_bus/messages/status.jsonl
Claude-062,Refactoring & Consolidation,services,Architect,coordination_bus/messages/status.jsonl
Claude-063,Refactoring & Consolidation,agents,Architect,coordination_bus/messages/status.jsonl
Claude-064,Refactoring & Consolidation,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-065,Refactoring & Consolidation,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-066,Refactoring & Consolidation,backend,Architect,coordination_bus/messages/status.jsonl
Claude-067,Refactoring & Consolidation,services,Architect,coordination_bus/messages/status.jsonl
Claude-068,Refactoring & Consolidation,agents,Architect,coordination_bus/messages/status.jsonl
Claude-069,Refactoring & Consolidation,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-070,Refactoring & Consolidation,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-071,Refactoring & Consolidation,backend,Architect,coordination_bus/messages/status.jsonl
Claude-072,Refactoring & Consolidation,services,Architect,coordination_bus/messages/status.jsonl
Claude-073,Refactoring & Consolidation,agents,Architect,coordination_bus/messages/status.jsonl
Claude-074,Refactoring & Consolidation,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-075,Refactoring & Consolidation,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-076,Refactoring & Consolidation,backend,Architect,coordination_bus/messages/status.jsonl
Claude-077,Refactoring & Consolidation,services,Architect,coordination_bus/messages/status.jsonl
Claude-078,Refactoring & Consolidation,agents,Architect,coordination_bus/messages/status.jsonl
Claude-079,Refactoring & Consolidation,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-080,Refactoring & Consolidation,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-081,Refactoring & Consolidation,backend,Architect,coordination_bus/messages/status.jsonl
Claude-082,Refactoring & Consolidation,services,Architect,coordination_bus/messages/status.jsonl
Claude-083,Refactoring & Consolidation,agents,Architect,coordination_bus/messages/status.jsonl
Claude-084,Refactoring & Consolidation,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-085,Refactoring & Consolidation,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-086,Refactoring & Consolidation,backend,Architect,coordination_bus/messages/status.jsonl
Claude-087,Refactoring & Consolidation,services,Architect,coordination_bus/messages/status.jsonl
Claude-088,Refactoring & Consolidation,agents,Architect,coordination_bus/messages/status.jsonl
Claude-089,Refactoring & Consolidation,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-090,Refactoring & Consolidation,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-091,Refactoring & Consolidation,backend,Architect,coordination_bus/messages/status.jsonl
Claude-092,Refactoring & Consolidation,services,Architect,coordination_bus/messages/status.jsonl
Claude-093,Refactoring & Consolidation,agents,Architect,coordination_bus/messages/status.jsonl
Claude-094,Refactoring & Consolidation,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-095,Refactoring & Consolidation,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-096,Refactoring & Consolidation,backend,Architect,coordination_bus/messages/status.jsonl
Claude-097,Refactoring & Consolidation,services,Architect,coordination_bus/messages/status.jsonl
Claude-098,Refactoring & Consolidation,agents,Architect,coordination_bus/messages/status.jsonl
Claude-099,Refactoring & Consolidation,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-100,Refactoring & Consolidation,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-101,Refactoring & Consolidation,backend,Architect,coordination_bus/messages/status.jsonl
Claude-102,Refactoring & Consolidation,services,Architect,coordination_bus/messages/status.jsonl
Claude-103,Refactoring & Consolidation,agents,Architect,coordination_bus/messages/status.jsonl
Claude-104,Refactoring & Consolidation,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-105,Refactoring & Consolidation,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-106,Refactoring & Consolidation,backend,Architect,coordination_bus/messages/status.jsonl
Claude-107,Refactoring & Consolidation,services,Architect,coordination_bus/messages/status.jsonl
Claude-108,Refactoring & Consolidation,agents,Architect,coordination_bus/messages/status.jsonl
Claude-109,Refactoring & Consolidation,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-110,Refactoring & Consolidation,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-111,Refactoring & Consolidation,backend,Architect,coordination_bus/messages/status.jsonl
Claude-112,Refactoring & Consolidation,services,Architect,coordination_bus/messages/status.jsonl
Claude-113,Refactoring & Consolidation,agents,Architect,coordination_bus/messages/status.jsonl
Claude-114,Refactoring & Consolidation,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-115,Refactoring & Consolidation,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-116,Refactoring & Consolidation,backend,Architect,coordination_bus/messages/status.jsonl
Claude-117,Refactoring & Consolidation,services,Architect,coordination_bus/messages/status.jsonl
Claude-118,Refactoring & Consolidation,agents,Architect,coordination_bus/messages/status.jsonl
Claude-119,Refactoring & Consolidation,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-120,Refactoring & Consolidation,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-121,Refactoring & Consolidation,backend,Architect,coordination_bus/messages/status.jsonl
Claude-122,Refactoring & Consolidation,services,Architect,coordination_bus/messages/status.jsonl
Claude-123,Refactoring & Consolidation,agents,Architect,coordination_bus/messages/status.jsonl
Claude-124,Refactoring & Consolidation,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-125,Refactoring & Consolidation,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-126,Refactoring & Consolidation,backend,Architect,coordination_bus/messages/status.jsonl
Claude-127,Refactoring & Consolidation,services,Architect,coordination_bus/messages/status.jsonl
Claude-128,Refactoring & Consolidation,agents,Architect,coordination_bus/messages/status.jsonl
Claude-129,Refactoring & Consolidation,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-130,Refactoring & Consolidation,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-131,Refactoring & Consolidation,backend,Architect,coordination_bus/messages/status.jsonl
Claude-132,Refactoring & Consolidation,services,Architect,coordination_bus/messages/status.jsonl
Claude-133,Refactoring & Consolidation,agents,Architect,coordination_bus/messages/status.jsonl
Claude-134,Refactoring & Consolidation,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-135,Refactoring & Consolidation,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-136,Refactoring & Consolidation,backend,Architect,coordination_bus/messages/status.jsonl
Claude-137,Refactoring & Consolidation,services,Architect,coordination_bus/messages/status.jsonl
Claude-138,Refactoring & Consolidation,agents,Architect,coordination_bus/messages/status.jsonl
Claude-139,Refactoring & Consolidation,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-140,Refactoring & Consolidation,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-141,Refactoring & Consolidation,backend,Architect,coordination_bus/messages/status.jsonl
Claude-142,Refactoring & Consolidation,services,Architect,coordination_bus/messages/status.jsonl
Claude-143,Refactoring & Consolidation,agents,Architect,coordination_bus/messages/status.jsonl
Claude-144,Refactoring & Consolidation,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-145,Refactoring & Consolidation,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-146,Refactoring & Consolidation,backend,Architect,coordination_bus/messages/status.jsonl
Claude-147,Refactoring & Consolidation,services,Architect,coordination_bus/messages/status.jsonl
Claude-148,Refactoring & Consolidation,agents,Architect,coordination_bus/messages/status.jsonl
Claude-149,Refactoring & Consolidation,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-150,Refactoring & Consolidation,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-151,Conflict Resolution,backend,Architect,coordination_bus/messages/status.jsonl
Claude-152,Conflict Resolution,services,Architect,coordination_bus/messages/status.jsonl
Claude-153,Conflict Resolution,agents,Architect,coordination_bus/messages/status.jsonl
Claude-154,Conflict Resolution,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-155,Conflict Resolution,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-156,Conflict Resolution,backend,Architect,coordination_bus/messages/status.jsonl
Claude-157,Conflict Resolution,services,Architect,coordination_bus/messages/status.jsonl
Claude-158,Conflict Resolution,agents,Architect,coordination_bus/messages/status.jsonl
Claude-159,Conflict Resolution,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-160,Conflict Resolution,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-161,Conflict Resolution,backend,Architect,coordination_bus/messages/status.jsonl
Claude-162,Conflict Resolution,services,Architect,coordination_bus/messages/status.jsonl
Claude-163,Conflict Resolution,agents,Architect,coordination_bus/messages/status.jsonl
Claude-164,Conflict Resolution,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-165,Conflict Resolution,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-166,Conflict Resolution,backend,Architect,coordination_bus/messages/status.jsonl
Claude-167,Conflict Resolution,services,Architect,coordination_bus/messages/status.jsonl
Claude-168,Conflict Resolution,agents,Architect,coordination_bus/messages/status.jsonl
Claude-169,Conflict Resolution,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-170,Conflict Resolution,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-171,Testing & Integration,backend,Architect,coordination_bus/messages/status.jsonl
Claude-172,Testing & Integration,services,Architect,coordination_bus/messages/status.jsonl
Claude-173,Testing & Integration,agents,Architect,coordination_bus/messages/status.jsonl
Claude-174,Testing & Integration,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-175,Testing & Integration,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-176,Testing & Integration,backend,Architect,coordination_bus/messages/status.jsonl
Claude-177,Testing & Integration,services,Architect,coordination_bus/messages/status.jsonl
Claude-178,Testing & Integration,agents,Architect,coordination_bus/messages/status.jsonl
Claude-179,Testing & Integration,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-180,Testing & Integration,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-181,Testing & Integration,backend,Architect,coordination_bus/messages/status.jsonl
Claude-182,Testing & Integration,services,Architect,coordination_bus/messages/status.jsonl
Claude-183,Testing & Integration,agents,Architect,coordination_bus/messages/status.jsonl
Claude-184,Testing & Integration,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-185,Testing & Integration,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-186,Testing & Integration,backend,Architect,coordination_bus/messages/status.jsonl
Claude-187,Testing & Integration,services,Architect,coordination_bus/messages/status.jsonl
Claude-188,Testing & Integration,agents,Architect,coordination_bus/messages/status.jsonl
Claude-189,Testing & Integration,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-190,Testing & Integration,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-191,Documentation Updates,backend,Architect,coordination_bus/messages/status.jsonl
Claude-192,Documentation Updates,services,Architect,coordination_bus/messages/status.jsonl
Claude-193,Documentation Updates,agents,Architect,coordination_bus/messages/status.jsonl
Claude-194,Documentation Updates,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-195,Documentation Updates,scripts,Architect,coordination_bus/messages/status.jsonl
Claude-196,Reporting & Ledger,backend,Architect,coordination_bus/messages/status.jsonl
Claude-197,Reporting & Ledger,services,Architect,coordination_bus/messages/status.jsonl
Claude-198,Reporting & Ledger,agents,Architect,coordination_bus/messages/status.jsonl
Claude-199,Reporting & Ledger,frontend,Architect,coordination_bus/messages/status.jsonl
Claude-200,Reporting & Ledger,scripts,Architect,coordination_bus/messages/status.jsonl
